Index,Name,Lat,Lng,Type
185,인천 남동구,37.47612011135504,126.71501247298497,Node
186,인천 동구,37.47427030146259,126.63566490159975,Node
187,인천 미추홀구,37.43942650201477,126.70220423654328,Node
188,인천 부평구,37.52266933296397,126.73069956821962,Node
189,인천 서구,37.53472326862565,126.67806284422583,Node
190,인천 연수구,37.41593488222173,126.67301243369944,Node
191,인천 옹진군,37.82292306770142,124.72019312531155,Node
192,인천 중구,37.47236210028584,126.63582222134973,Node
193,전남 강진군,34.65530214079854,126.77837495751491,Node
194,전남 고흥군,34.601837010244296,127.24653864135333,Node
195,전남 곡성군,35.26363054090527,127.1621689142694,Node
196,전남 광양시,34.99087064371594,127.58283090085176,Node
197,전남 구례군,35.18114426732296,127.5449793170958,Node
198,전남 나주시,35.03712506096112,126.7135750876578,Node
199,전남 담양군,35.15876239971604,127.06856801202944,Node
200,전남 목포시,34.78559554249473,126.38338277836527,Node
201,전남 무안군,35.01629883917424,126.4066513016221,Node
202,전남 보성군,34.805463165454185,127.16706783613763,Node
203,전남 순천시,34.991639547963395,127.49455567418552,Node
204,전남 신안군,34.682236244530095,125.9917479040058,Node
205,전남 여수시,34.70671826575156,127.7251437097069,Node
206,전남 영광군,35.2282229795464,126.44345804258016,Node
207,전남 영암군,34.76107912123809,126.67565485416412,Node
208,전남 완도군,34.42675130553032,126.83802214463404,Node
209,전남 장성군,35.266751687843765,126.79931266622457,Node
210,전남 장흥군,34.57204472085921,126.97932903351986,Node
211,전남 진도군,34.500668011720556,126.32601433757917,Node
212,전남 함평군,35.107906372250596,126.55548172910468,Node
213,전남 해남군,34.66822189391649,126.61510828475716,Node
214,전남 화순군,34.99317667169057,126.96502269308012,Node
215,전북 고창군,35.40159739485628,126.66853027067636,Node
216,전북 군산시,35.985855194921015,126.71305344733628,Node
217,전북 김제시,35.81228442625191,126.86908843133524,Node
218,전북 남원시,35.44443505180524,127.42230869418805,Node
219,전북 무주군,35.96989085446292,127.66082949941664,Node
220,전북 부안군,35.794591673401,126.64176131734224,Node
221,전북 순창군,35.43460577347665,127.09608550241686,Node
222,전북 완주군,36.02860135574849,127.30951097603123,Node
223,전북 익산시,35.93905928173907,126.95245132911462,Node
224,전북 임실군,35.52924808886661,127.172030454041,Node
225,전북 장수군,35.682334168681166,127.58630048708336,Node
226,전북 전주시,35.89264109766546,127.01860015925556,Node
227,전북 정읍시,35.70806713999846,126.98541654368212,Node
228,전북 진안군,35.865073872984404,127.60730186906784,Node
229,제주 서귀포시,33.277868907145574,126.50855148028263,Node
230,제주 제주시,33.507846961695286,126.55431423764772,Node
231,충북 괴산군,36.8399400682906,127.88810047423812,Node
232,충북 단양군,37.04981820569528,128.41336366824885,Node
233,충북 보은군,36.567764595816726,127.66463175463248,Node
234,충북 영동군,36.16338527216172,127.96533808087904,Node
235,충북 옥천군,36.35457561134342,127.59201818010187,Node
236,충북 음성군,37.13554957804216,127.66355567260288,Node
237,충북 제천시,37.12265783316148,128.2253653241258,Node
238,충북 증평군,36.83705910026275,127.63404724846124,Node
239,충북 진천군,36.99888432005396,127.44535212635598,Node
240,충북 청주시,36.552414297196464,127.56701789335035,Node
241,충북 충주시,36.939855232443335,127.89782259069112,Node
